,Size,Time for 100,Time*1000/(N+1)!
0,2,0.014007806777954102,2.33463446299235
1,3,0.12311625480651855,5.1298439502716064
2,4,0.6274209022521973,5.2285075187683105
3,5,3.7736856937408447,5.241230130195618
4,6,28.51039958000183,5.656825313492427
5,7,227.54597234725952,5.643501298295127
6,8,2105.086124897003,5.8010530337770145
