E
-4440.799332
-4440.799316
-4440.799296
-4440.799270
-4440.799240
-4440.799204
-4440.799163
-4440.799118
-4440.799067
-4440.799011
-4440.798950
-4440.798884
-4440.798813
-4440.798737
-4440.798656
-4440.798570
-4440.798479
-4440.798383
-4440.798282
-4440.798176
