x,y,z
0.000000,0.000000,0.000000
-0.329041,0.209361,0.000000
0.443496,-0.567196,0.000000
-0.978452,0.206473,0.000000
-1.450140,0.455514,0.000000
-2.740706,4.419110,0.000000
9.064499,3.100203,0.000000
16.512551,-9.796716,0.000000
-29.853097,3.434404,0.000000
39.392444,-6.945168,0.000000
-13.527422,-38.350836,0.000000
5.850386,-40.917202,0.000000
-30.411949,-28.967454,0.000000
32.042920,-28.172606,0.000000
-3.644374,-43.179814,0.000000
