Half lifes,Spread
100.0,437.6185101580135
107.07070707070707,437.0509824747743
114.14141414141415,434.5135135135135
121.21212121212122,422.8102496714849
128.2828282828283,406.8888295029396
135.35353535353536,407.5353748680042
142.42424242424244,395.874800213106
149.49494949494948,386.9123085050185
156.56565656565658,370.15493711533315
163.63636363636363,368.01524153965386
170.70707070707073,356.4203683640303
177.77777777777777,349.6089494163424
184.84848484848484,346.193260654113
191.91919191919192,341.93859211183224
198.989898989899,335.4104365278475
206.06060606060606,329.8877805486284
213.13131313131314,321.55986003499123
220.2020202020202,313.5656565656566
227.27272727272728,302.47029204431016
234.34343434343435,297.48148148148147
241.41414141414143,287.5903890160183
248.4848484848485,283.59307472012495
255.55555555555557,286.5441072688779
262.62626262626264,280.2368421052632
269.6969696969697,277.68595825426945
276.7676767676768,275.521613832853
283.83838383838383,261.87142857142857
290.9090909090909,259.69565217391306
297.979797979798,260.9065420560748
305.0505050505051,249.42197802197802
312.1212121212121,243.81022078888614
319.19191919191917,246.05597579425114
326.26262626262627,238.1046949535526
333.33333333333337,234.134110787172
340.4040404040404,230.0843554443054
347.47474747474746,231.05933503836317
354.54545454545456,221.1969387755102
361.6161616161616,218.61165562913908
368.6868686868687,224.02826442419996
375.75757575757575,220.44373371239044
382.82828282828285,214.8638159423658
389.8989898989899,216.26101373756512
396.969696969697,212.18609703113685
404.04040404040404,210.38539898132427
411.11111111111114,209.00377625678547
418.1818181818182,204.1320754716981
425.2525252525253,201.82893450635385
432.32323232323233,196.48130160271978
439.3939393939394,196.26159921026652
446.4646464646465,192.8058723610774
453.5353535353535,193.17990711317526
460.6060606060606,190.6378498885311
467.67676767676767,189.92477987421384
474.74747474747477,186.079143852663
481.8181818181818,185.03634528016153
488.8888888888889,182.32243229432805
495.95959595959596,181.37126376507604
503.03030303030306,177.64292980671414
510.1010101010101,176.21695891127976
517.1717171717172,173.4225201072386
524.2424242424242,169.71225806451613
531.3131313131314,167.83847167325428
538.3838383838383,164.20085813891123
545.4545454545455,163.41575492341357
552.5252525252525,164.6532040926225
559.5959595959596,167.72394967956325
566.6666666666667,165.82571912013537
573.7373737373737,167.5833729216152
580.8080808080808,163.58910525018487
587.8787878787879,163.26040658276864
594.9494949494949,164.70392156862746
602.0202020202021,163.85828343313372
609.0909090909091,159.4658753709199
616.1616161616162,158.9990099009901
623.2323232323232,157.59572327044026
630.3030303030304,158.096120583148
637.3737373737374,154.77025266996614
644.4444444444445,153.9280081404223
651.5151515151515,150.56203249935518
658.5858585858587,153.18464730290458
665.6565656565657,148.83263157894737
672.7272727272727,146.1055381400209
679.7979797979798,151.14336917562724
686.8686868686868,147.2007722007722
693.939393939394,142.75849056603772
701.010101010101,148.1430068098481
708.0808080808081,149.7271759382486
715.1515151515151,143.83829444891393
722.2222222222223,140.05731775180857
729.2929292929293,140.28348023883993
736.3636363636364,144.66795366795367
743.4343434343434,141.05400936897217
750.5050505050506,140.66786206896552
757.5757575757576,141.0639087018545
764.6464646464647,141.14634146341464
771.7171717171717,135.62022471910112
778.7878787878788,139.67007963594995
785.8585858585859,137.18324022346368
792.929292929293,131.87751769188895
800.0,131.58082497212934
