,P_values,Sigmas
0,0.453919847916955,0.1
1,0.48158384378890934,0.10500000000000001
2,0.5145684024472063,0.11
3,0.5634108052468969,0.115
4,0.543974224062792,0.12
5,0.6606736233122621,0.125
6,0.6902086232728561,0.13
7,0.7193077107709228,0.135
8,0.7642272717305953,0.14
9,0.8307553003641035,0.145
10,0.7714927491003807,0.15
11,0.8166641178342572,0.155
12,0.8708989085062546,0.16
13,0.8656935959014466,0.16499999999999998
14,0.9061397126716574,0.16999999999999998
15,0.893578180096217,0.175
16,0.9151258106468178,0.18
17,0.9161718361604383,0.185
18,0.9507121884148281,0.19
19,0.964424754505886,0.195
20,0.954201421271409,0.19999999999999998
21,0.9597567913781379,0.205
22,0.9659722850290389,0.21
23,0.9862956680340894,0.21499999999999997
24,0.9928378598276578,0.21999999999999997
25,0.9942070421977848,0.22499999999999998
26,0.9948508421852589,0.22999999999999998
27,0.990612270758543,0.235
28,0.9985699475642332,0.24
29,0.9983993466627263,0.245
30,0.9949092348490759,0.24999999999999997
31,0.9969074926008725,0.255
32,0.9966571821323128,0.26
33,0.998150808418686,0.265
34,0.9982551199273412,0.27
35,0.999998674759877,0.27499999999999997
36,0.9999846398335318,0.27999999999999997
37,0.999365724848609,0.285
38,0.9999917761040149,0.29
39,0.9999998955331915,0.295
40,0.9999984154343176,0.3
