Gauss time,Jacobi time,nodes
0.015615701675415039,0.015628576278686523,5
0.03125262260437012,0.03126645088195801,10
0.09375905990600586,0.06250143051147461,15
0.15625,0.13252687454223633,20
0.30040621757507324,0.2031259536743164,25
0.4156460762023926,0.3195173740386963,30
0.5468699932098389,0.456402063369751,35
0.828148603439331,0.5941944122314453,40
1.0937631130218506,0.7968838214874268,45
1.3414194583892822,1.0625133514404297,50
1.4843778610229492,1.365964412689209,55
1.9375238418579102,1.765282392501831,60
2.4368038177490234,2.2500245571136475,65
3.0542805194854736,3.178765058517456,70
4.143348217010498,3.468811511993408,75
5.009823799133301,5.179481506347656,80
5.324811697006226,5.434311389923096,85
6.541497230529785,5.959369897842407,90
8.00009298324585,7.215527057647705,95
9.834742069244385,8.645796298980713,100
10.312851190567017,8.932226419448853,105
12.430837869644165,7.6555516719818115,110
15.102200269699097,10.8395676612854,115
17.53577208518982,13.282701253890991,120
