Gauss,Jacobi,Nodes
0.0,0.01000833511352539,5
0.031222820281982422,0.0520327091217041,10
0.06250166893005371,0.09306526184082031,15
0.14062762260437012,0.25117945671081543,20
0.21877837181091309,0.2872302532196045,25
0.34363532066345215,0.49732542037963867,30
0.4731132984161377,0.971693754196167,35
0.651909589767456,1.459033727645874,40
0.8745403289794922,1.2348754405975342,45
1.2814464569091797,0.9957082271575928,50
1.563899278640747,1.4870562553405762,55
1.9987025260925293,1.878333568572998,60
2.795686721801758,2.2335927486419678,65
3.516296148300171,3.300337791442871,70
3.750486135482788,4.933078765869141,75
4.551346778869629,4.176969051361084,80
6.164543867111206,5.111655950546265,85
6.865154504776001,8.278407096862793,90
8.345687866210938,10.545491695404053,95
9.49538803100586,10.697870969772339,100
11.404581069946289,11.624364376068115,105
13.126855611801147,10.020687818527222,110
15.124308347702026,11.853467226028442,115
17.468520164489746,13.53591775894165,120
19.564024209976196,15.004930019378662,125
22.07258939743042,17.024874925613403,130
25.64505362510681,18.997764587402344,135
28.67208218574524,29.027305603027344,140
31.987224340438843,32.38646221160889,145
35.684757709503174,36.303070306777954,150
39.65725827217102,39.727569818496704,155
44.92450547218323,43.0999219417572,160
48.62093448638916,50.54011535644531,165
54.31294131278992,34.269710302352905,170
58.421788692474365,33.99165177345276,175
65.74111342430115,45.475616216659546,180
71.32117223739624,66.81212997436523,185
78.42121958732605,66.30420541763306,190
85.50086832046509,85.16747641563416,195
92.8155369758606,86.5923764705658,200
100.29362893104553,80.60045957565308,205
108.76501083374023,97.53679728507996,210
118.00058507919312,106.15754342079163,215
127.09378385543823,117.50821542739868,220
135.86228799819946,127.2092695236206,225
146.40326499938965,134.52716898918152,230
158.39841413497925,149.33434534072876,235
171.58545875549316,160.07267379760742,240
181.9530701637268,167.75264239311218,245
194.7352774143219,179.11838150024414,250
209.9841046333313,196.14978647232056,255
225.1404902935028,197.76694107055664,260
239.35898876190186,240.59360313415527,265
256.10945224761963,220.89569425582886,270
271.73494720458984,232.35678005218506,275
292.35583424568176,246.38716912269592,280
306.00532507896423,261.4352207183838,285
329.3358790874481,278.39619970321655,290
347.75532579421997,294.8737027645111,295
