Iterations,Ln(change)
420,-3.826693067312847
421,-3.835291608602082
422,-3.843887520068556
423,-3.852480810361147
424,-3.8610714879580006
425,-3.869659561169285
426,-3.8782450381391254
427,-3.8868279268491412
428,-3.89540823511981
429,-3.903985970613423
430,-3.9125611408362055
431,-3.9211337531410435
432,-3.9297038147314427
433,-3.9382713326595855
434,-3.946836313833698
435,-3.9553987650154023
436,-3.9639586928274975
437,-3.9725161037507717
438,-3.9810710041287
439,-3.9896234001710753
440,-3.9981732979515323
441,-4.006720703416268
442,-4.015265622379347
443,-4.023808060529378
444,-4.032348023427364
445,-4.040885516516248
446,-4.049420545111032
447,-4.057953114414493
448,-4.06648322950536
449,-4.075010895351158
450,-4.083536116805433
451,-4.092058898607461
452,-4.1005792453877055
453,-4.109097161668201
454,-4.117612651865109
455,-4.1261257202887345
456,-4.134636371145019
457,-4.1431446085404735
458,-4.151650436480377
459,-4.160153858872079
460,-4.168654879524303
461,-4.17715350215385
462,-4.185649730381693
463,-4.194143567737064
464,-4.2026350176571485
465,-4.2111240834931545
466,-4.219610768503034
467,-4.228095075865193
468,-4.236577008669453
469,-4.245056569921206
470,-4.253533762545747
471,-4.262008589386949
472,-4.270481053208025
473,-4.278951156696913
474,-4.287418902461114
475,-4.295884293034142
476,-4.3043473308795415
477,-4.312808018377782
478,-4.321266357845573
479,-4.329722351530164
480,-4.338176001602758
481,-4.346627310169786
482,-4.355076279269983
483,-4.363522910878361
484,-4.371967206902343
485,-4.380409169185781
486,-4.388848799511803
487,-4.397286099599578
488,-4.405721071110038
489,-4.414153715643952
490,-4.422584034744391
491,-4.431012029891468
492,-4.4394377025182346
493,-4.447861053996422
494,-4.456282085643301
495,-4.464700798723607
496,-4.473117194453059
497,-4.481531273988847
498,-4.489943038443098
499,-4.4983524888756685
500,-4.506759626298171
501,-4.515164451675528
502,-4.523566965921306
503,-4.5319671699101365
504,-4.540365064463824
505,-4.548760650363452
506,-4.557153928344061
507,-4.565544899101614
508,-4.573933563287795
509,-4.582319921511524
510,-4.590703974340658
511,-4.599085722309784
512,-4.607465165904371
513,-4.615842305580913
514,-4.6242171417530376
515,-4.632589674796039
516,-4.6409599050548005
517,-4.649327832836332
518,-4.657693458409327
519,-4.666056782013195
520,-4.674417803851459
521,-4.682776524097019
522,-4.6911329428875685
523,-4.699487060331223
524,-4.707838876504467
525,-4.716188391457149
526,-4.724535605204989
527,-4.732880517737597
528,-4.741223129011643
529,-4.749563438962527
530,-4.757901447496605
531,-4.766237154489918
532,-4.774570559795984
533,-4.782901663242371
534,-4.791230464631538
535,-4.799556963743052
536,-4.807881160327065
537,-4.816203054118603
538,-4.8245226448209495
539,-4.8328399321248305
540,-4.841154915691236
541,-4.849467595164889
542,-4.857777970166024
543,-4.86608604029885
544,-4.874391805142679
545,-4.882695264261936
546,-4.890996417199076
547,-4.899295263482421
548,-4.907591802615672
549,-4.915886034090513
550,-4.924177957380617
551,-4.932467571940459
552,-4.94075487721337
553,-4.949039872619987
554,-4.957322557571485
555,-4.965602931460792
556,-4.973880993667517
557,-4.98215674355847
558,-4.990430180484905
559,-4.998701303780114
560,-5.006970112777947
