Distances,Field
19,0.3187740871182379
18,0.5955556283558975
17,1.0330572212331808
16,1.4881929255924946
15,1.9651750747984496
14,2.4713934138745306
13,3.016599770326025
12,3.613579489512223
11,4.279517642565633
10,5.038285395213483
9,5.924325691048906
8,6.989612338976085
7,8.31701285143729
6,10.04839373894556
5,12.450999764774457
4,16.097999692110168
3,22.441538729236424
2,35.91863111414764
1,72.68095493935125
